BIG_GAMMA,0.0
ROW,1.0
COLUMN,5.0
MU,-1.0
VARIANCE,GAMMA,BIOMASS,FRACTION
0.0,0.0,0.5005005005004441,1.0
0.0,0.2,0.5005005005004441,1.0
0.0,0.4,0.5005005005004441,1.0
0.0,0.6000000000000001,0.5005005005004441,1.0
0.0,0.8,0.5005005005004441,1.0
0.1,0.0,0.5023557947966005,0.98212
0.1,0.2,0.5063429230994275,0.98328
0.1,0.4,0.5110579165127894,0.98408
0.1,0.6000000000000001,0.5150614217730712,0.98262
0.1,0.8,0.5233589737904502,0.983
0.19999999999999998,0.0,0.5064861420922491,0.9189
0.19999999999999998,0.2,0.5172283857136152,0.91882
0.19999999999999998,0.4,0.5291764832762147,0.92028
0.19999999999999998,0.6000000000000001,0.5349444000172755,0.9205
0.19999999999999998,0.8,0.5478103816435471,0.92094
0.3000000000000001,0.0,0.5155031569703331,0.85602
0.3000000000000001,0.2,0.5328660626390441,0.85586
0.3000000000000001,0.4,0.542348896387713,0.8577
0.3000000000000001,0.6000000000000001,0.562773532578508,0.85544
0.3000000000000001,0.8,0.5741708644177262,0.85514
0.4,0.0,0.5323634834173968,0.80304
0.4,0.2,0.5504971919775474,0.80042
0.4,0.4,0.570558705671678,0.79928
0.4,0.6000000000000001,0.586006799229376,0.7994
0.4,0.8,0.6194253179385925,0.7989
0.5000000000000001,0.0,0.5459898034473164,0.75346
0.5000000000000001,0.2,0.574596749559695,0.75516
0.5000000000000001,0.4,0.598414280415517,0.7523
0.5000000000000001,0.6000000000000001,0.6246957939787989,0.756
0.5000000000000001,0.8,0.6608361470746431,0.75636
0.6000000000000001,0.0,0.5721891830322369,0.71406
0.6000000000000001,0.2,0.5979457360989133,0.71236
0.6000000000000001,0.4,0.6322558049637036,0.70958
0.6000000000000001,0.6000000000000001,0.6616499219236633,0.71474
0.6000000000000001,0.8,0.7105935078062932,0.71402
0.7000000000000001,0.0,0.6069730402136756,0.6772
0.7000000000000001,0.2,0.6224824034755544,0.68128
0.7000000000000001,0.4,0.6744930712718489,0.67996
0.7000000000000001,0.6000000000000001,0.7076559961164413,0.6826
0.7000000000000001,0.8,0.7732005887703113,0.68208
0.7999999999999999,0.0,0.6259902143589485,0.64822
0.7999999999999999,0.2,0.6671089837508926,0.64874
0.7999999999999999,0.4,0.7295705564551853,0.64972
0.7999999999999999,0.6000000000000001,0.7652782457658931,0.64884
0.7999999999999999,0.8,0.8365272951041799,0.6487
